shortTermMemoryLimit,windowsSize,threshold,k_ini,F1M,precision,recall,subsetAccuracy,NP,unk,unkRemoved
0.25,2000,1.1,0.25,0.8699986,0.89571244,0.7959375,0.5005799,23,102,0
0.5,200,1.1,0.01,0.95259744,0.9381747,0.97607005,0.8196874,4,36,12
0.5,200,1.1,0.05,0.81847376,0.7494985,0.72301865,0.4815853,37,210,65
0.5,200,1.1,0.1,0.59298533,0.45469493,0.46285775,0.2847369,20,98,20
0.5,200,1.1,0.25,0.36581478,0.3091715,0.26128882,0.14338778,32,130,19
0.5,500,1.1,0.01,0.9546206,0.93976337,0.99644166,0.8268236,0,7,3
0.5,500,1.1,0.05,0.95703155,0.9445756,0.9726768,0.82708585,9,68,19
0.5,500,1.1,0.1,0.9196572,0.9169708,0.8915144,0.72311646,29,150,26
0.5,500,1.1,0.25,0.6973798,0.6235255,0.56758356,0.29931682,36,153,8
0.5,1000,1.1,0.01,0.9533232,0.93622714,0.99646163,0.8184127,0,8,4
0.5,1000,1.1,0.05,0.9648957,0.9531704,0.9941705,0.8610468,1,19,8
0.5,1000,1.1,0.1,0.9659533,0.95408064,0.9817262,0.8559819,8,41,7
0.5,1000,1.1,0.25,0.85185355,0.8563599,0.76182383,0.4585488,28,127,3
0.5,2000,1.1,0.01,0.9535181,0.93760794,0.99575335,0.8189767,1,13,0
0.5,2000,1.1,0.05,0.96793604,0.95569396,0.99714035,0.8699026,0,5,0
0.5,2000,1.1,0.1,0.96873,0.95958215,0.99167067,0.8685517,0,13,0
0.5,2000,1.1,0.25,0.87676644,0.90075797,0.81339765,0.5076566,22,96,0
0.75,200,1.1,0.01,0.94944996,0.92922485,0.97815377,0.80532193,5,32,8
0.75,200,1.1,0.05,0.82937026,0.76214373,0.7428029,0.49936295,27,162,57
0.75,200,1.1,0.1,0.5982297,0.48921633,0.47283906,0.30017194,32,136,30
0.75,200,1.1,0.25,0.37425527,0.3136031,0.2661641,0.1607824,36,161,35
0.75,500,1.1,0.01,0.9534752,0.9370985,0.9956629,0.81943095,0,9,1
0.75,500,1.1,0.05,0.95541674,0.9402731,0.96810657,0.8277634,11,64,17
0.75,500,1.1,0.1,0.91315967,0.89430445,0.8868201,0.6781898,30,137,17
0.75,500,1.1,0.25,0.7127629,0.6804551,0.59300584,0.34060425,48,198,15
0.75,1000,1.1,0.01,0.95225173,0.93628967,0.9951881,0.8152185,0,6,2
0.75,1000,1.1,0.05,0.9643613,0.9506431,0.9958627,0.85335845,1,14,4
0.75,1000,1.1,0.1,0.9633208,0.9544678,0.98246175,0.8477642,6,39,6
0.75,1000,1.1,0.25,0.853179,0.85634184,0.7694652,0.4763734,29,127,8
0.75,2000,1.1,0.01,0.9552539,0.93985367,0.995805,0.8254703,0,9,0
0.75,2000,1.1,0.05,0.9674771,0.95468605,0.99699515,0.8642839,0,1,0
0.75,2000,1.1,0.1,0.9667946,0.958832,0.9920959,0.86563724,0,9,0
0.75,2000,1.1,0.25,0.87780374,0.9050449,0.8196904,0.5262327,24,105,0
1.0,200,1.1,0.01,0.94635046,0.9347326,0.97819614,0.8053736,0,73,60
1.0,200,1.1,0.05,0.87656575,0.9679537,0.81209743,0.58444357,21,927,728
1.0,200,1.1,0.1,0.7318715,0.7707242,0.63057303,0.42931643,20,1273,1033
1.0,200,1.1,0.25,0.5004725,0.48363343,0.38314155,0.24195005,49,1019,688
1.0,500,1.1,0.01,0.9559653,0.94178134,0.9955124,0.8288138,0,9,3
1.0,500,1.1,0.05,0.96059716,0.95422924,0.979753,0.83910537,0,99,56
1.0,500,1.1,0.1,0.9293991,0.95531315,0.91771996,0.742465,0,362,240
1.0,500,1.1,0.25,0.8020395,0.8915367,0.7035971,0.45092538,54,877,334
1.0,1000,1.1,0.01,0.95375365,0.93790406,0.99641246,0.82108,0,12,6
1.0,1000,1.1,0.05,0.9655771,0.95435107,0.99420017,0.8587769,0,10,6
1.0,1000,1.1,0.1,0.96307015,0.96002877,0.9840569,0.8575912,0,73,29
1.0,1000,1.1,0.25,0.8726765,0.960492,0.8145321,0.54757214,0,445,216
1.0,2000,1.1,0.01,0.9532197,0.9399538,0.99435943,0.8256099,0,12,0
1.0,2000,1.1,0.05,0.9664503,0.95451385,0.9962992,0.86476284,0,4,0
1.0,2000,1.1,0.1,0.970435,0.9604332,0.9940998,0.8749416,0,10,0
1.0,2000,1.1,0.25,0.89929885,0.97331905,0.8451174,0.5952763,0,221,0
