Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
UnkRM,32,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072,0.036058072
UnkRM,33,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822,0.035669822
UnkRM,34,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057,0.035075057
UnkRM,35,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476,0.03475476
UnkRM,36,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123,0.034665123
UnkRM,37,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439,0.03466439
UnkRM,38,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821,0.03463821
UnkRM,39,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714,0.041268714
UnkRM,40,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288,0.07807288
UnkRM,41,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216,0.10529216
UnkRM,42,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646,0.113896646
UnkRM,43,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205,0.11838205
UnkRM,44,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366,0.11896366
UnkRM,45,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141,0.11913141
UnkRM,46,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504,0.11844504
UnkRM,47,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406,0.11848406
UnkRM,48,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882,0.11698882
UnkRM,49,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674,0.1162674
UnkRM,50,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427,0.11615427
