Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
UnkRM,4,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625,0.0013067625
UnkRM,5,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399,0.002330399
UnkRM,6,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357,0.002918357
UnkRM,7,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212,0.0036889212
UnkRM,8,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154,0.0043317154
UnkRM,9,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196,0.0049532196
UnkRM,10,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863,0.0059127863
UnkRM,11,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644,0.007604644
UnkRM,12,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082,0.008990082
UnkRM,13,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771,0.010391771
UnkRM,14,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962,0.01153962
UnkRM,15,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755,0.012916755
UnkRM,16,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559,0.014332559
UnkRM,17,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606,0.26166606
UnkRM,18,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992,0.26279992
UnkRM,19,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755,0.11370755
UnkRM,20,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564,0.092557564
UnkRM,21,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195,0.079061195
UnkRM,22,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137,0.0683137
UnkRM,23,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922,0.06086922
UnkRM,24,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657,0.05519657
UnkRM,25,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655,0.05154655
UnkRM,26,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741,0.04822741
UnkRM,27,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225,0.045078225
UnkRM,28,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189,0.04306189
UnkRM,29,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698,0.041310698
UnkRM,30,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894,0.039809894
UnkRM,31,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719,0.03944719
UnkRM,32,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747,0.039360747
UnkRM,33,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253,0.03924253
UnkRM,34,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667,0.039129667
UnkRM,35,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163,0.03923163
UnkRM,36,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334,0.039743334
UnkRM,37,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425,0.040151425
